iter,timestamp,tag,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19
-4,2025-12-22 12:51:59,executed,-112.47641514761355,-33.3577610415615,59.714987122768484,128.81558005111754,148.48352240204417,111.70441034077405,32.46404928047135,-59.116592677391544,-128.22575135156444,-148.59355299706783,-80.43613949954594,-35.53680212443279,59.256826935084746,70.82828032308156,-15.652121839279417,-80.60527631193746,-34.64613808619315,58.98585776129457,71.45370243886669,-14.39826932316961
-3,2025-12-22 12:52:21,proposed,-92.30230218527876,-39.820228083077765,62.26991542859197,134.41103829471464,174.25815396837748,144.21033660540922,23.080241248695835,-84.10459869362396,-133.43425611592238,-151.5445610540014,-90.03979200167619,-69.70530848581043,81.29448563770319,69.82648278460324,35.1866912549946,-56.412429419835696,4.13536581335611,53.04164382514151,97.87196304099497,-14.003551113969477
-3,2025-12-22 12:52:21,executed,-92.30230218527876,-39.820228083077765,62.26991542859197,134.41103829471464,174.25815396837748,144.21033660540922,23.080241248695835,-84.10459869362396,-133.43425611592238,-151.5445610540014,-90.03979200167619,-69.70530848581043,81.29448563770319,69.82648278460324,35.1866912549946,-56.412429419835696,4.13536581335611,53.04164382514151,97.87196304099497,-14.003551113969477
-2,2025-12-22 12:52:43,proposed,-64.20551086484086,-35.39780725827868,59.36336929798004,136.87502166852403,186.3786934464919,192.66573689537165,-15.251929563835937,-132.55514049562564,-120.50837176487732,-147.51454831947962,-93.17405564931425,-54.26439320772053,54.14228722164799,83.86083037992408,56.253184456276436,-51.01429097977786,-15.281719628869816,73.99927957666121,122.25558306707734,-15.037150772600533
-2,2025-12-22 12:52:43,executed,-64.20551086484086,-35.39780725827868,59.36336929798004,136.87502166852403,186.3786934464919,192.66573689537165,-15.251929563835937,-132.55514049562564,-120.50837176487732,-147.51454831947962,-93.17405564931425,-54.26439320772053,54.14228722164799,83.86083037992408,56.253184456276436,-51.01429097977786,-15.281719628869816,73.99927957666121,122.25558306707734,-15.037150772600533
-1,2025-12-22 12:53:05,proposed,-76.35646480906539,-37.92053555040717,45.67124212388734,155.4493166403931,149.49067276548632,183.32568841382948,30.597877299195076,-122.77893940771408,-106.30303195166405,-126.40385945499662,-92.09259364239855,-49.1053248808811,65.90792021571153,101.56571515217696,35.91304397213858,-53.68815160544441,-24.045429655516628,83.86814946522463,118.27540067011107,-40.53682291904347
-1,2025-12-22 12:53:05,executed,-76.35646480906539,-37.92053555040717,45.67124212388734,155.4493166403931,149.49067276548632,183.32568841382948,30.597877299195076,-122.77893940771408,-106.30303195166405,-126.40385945499662,-92.09259364239855,-49.1053248808811,65.90792021571153,101.56571515217696,35.91304397213858,-53.68815160544441,-24.045429655516628,83.86814946522463,118.27540067011107,-40.53682291904347
0,2025-12-22 12:53:28,proposed,-81.7707112704118,-35.82357449821237,50.681798438358776,136.94531733483157,160.83354597120444,162.52208409217073,27.524358270036327,-106.9819032007777,-130.82734888050115,-145.36399920926578,-103.48567248099985,-68.64832917483655,50.49528599204051,100.89148932310724,15.25585906881598,-30.839604071781352,-36.24098980926608,113.25647720275803,148.12897740487773,-26.394318361259106
0,2025-12-22 12:53:28,executed,-81.7707112704118,-35.82357449821237,50.681798438358776,136.94531733483157,160.83354597120444,162.52208409217073,27.524358270036327,-106.9819032007777,-130.82734888050115,-145.36399920926578,-103.48567248099985,-68.64832917483655,50.49528599204051,100.89148932310724,15.25585906881598,-30.839604071781352,-36.24098980926608,113.25647720275803,148.12897740487773,-26.394318361259106
1,2025-12-22 12:53:53,proposed,10.5,-15.2,20.1,-25.7,30.3,-20.8,15.6,-10.9,5.0,-2.5,-10.5,15.2,-20.1,25.7,-30.3,20.8,-15.6,10.9,-5.0,2.5
1,2025-12-22 12:53:53,executed,10.5,-15.2,20.1,-25.7,30.3,-20.8,15.6,-10.9,5.0,-2.5,-10.5,15.2,-20.1,25.7,-30.3,20.8,-15.6,10.9,-5.0,2.5
2,2025-12-22 12:54:23,proposed,-51.3571,3.4862,59.9882,-31.4284,46.1245,-23.4988,-26.5028,17.5683,-29.0768,-4.6853,58.7479,-15.9084,21.3653,-22.3996,54.0202,-50.1587,26.6586,-56.5413,-56.3353,44.2084
2,2025-12-22 12:54:23,executed,-51.3571,3.4862,59.9882,-31.4284,46.1245,-23.4988,-26.5028,17.5683,-29.0768,-4.6853,58.7479,-15.9084,21.3653,-22.3996,54.0202,-50.1587,26.6586,-56.5413,-56.3353,44.2084
3,2025-12-22 12:54:50,proposed,10.0,-20.0,30.0,-40.0,50.0,-40.0,30.0,-20.0,10.0,-5.0,-10.0,20.0,-30.0,40.0,-50.0,40.0,-30.0,20.0,-10.0,5.0
3,2025-12-22 12:54:50,executed,10.0,-20.0,30.0,-40.0,50.0,-40.0,30.0,-20.0,10.0,-5.0,-10.0,20.0,-30.0,40.0,-50.0,40.0,-30.0,20.0,-10.0,5.0
